Date Run,state,county,fips,ACA Expansion Adult Age 19 to 64,Other,Parent/Caretaker Relative & Child,Total Eligibles,Total County Population ,Medicaid Eligibility Percent of Total Population
10/9/2023,California,Alameda,06001,184593,154825,163753,503171,1656037,30.38404335
10/9/2023,California,Alpine,06003,111,77,144,332,1165,28.49785408
10/9/2023,California,Amador,06005,3400,2772,4060,10232,40122,25.50221823
10/9/2023,California,Butte,06007,30333,24935,34854,90122,205860,43.77829593
10/9/2023,California,Calaveras,06009,5220,4002,5865,15087,44605,33.82356238
10/9/2023,California,Colusa,06011,3060,3613,5288,11961,21905,54.6039717
10/9/2023,California,Contra Costa,06013,116155,94760,130138,341053,1146536,29.74638389
10/9/2023,California,Del Norte,06015,4055,4375,4980,13410,26382,50.83011144
10/9/2023,California,El Dorado,06017,16316,12620,16210,45146,187285,24.10550765
10/9/2023,California,Fresno,06019,160289,133364,260576,554229,1012424,54.74277575
10/9/2023,California,Glenn,06021,3730,4425,6718,14873,28039,53.04397446
10/9/2023,California,Humboldt,06023,25089,15746,24168,65003,134388,48.3696461
10/9/2023,California,Imperial,06025,31016,29757,48538,109311,179639,60.85037214
10/9/2023,California,Inyo,06027,2294,1878,2560,6732,18731,35.94041963
10/9/2023,California,Kern,06029,149102,120801,243995,513898,903372,56.88664249
10/9/2023,California,Kings,06031,20809,16815,33520,71144,152405,46.68088317
10/9/2023,California,Lake,06033,11475,11243,14973,37691,66446,56.72425729
10/9/2023,California,Lassen,06035,2820,2651,4243,9714,28232,34.40776424
10/9/2023,California,Los Angeles,06037,1667970,1263286,1520544,4451800,9825708,45.30767656
10/9/2023,California,Madera,06039,25003,21471,42001,88475,158457,55.83533703
10/9/2023,California,Marin,06041,23087,16311,20392,59790,254744,23.47062149
10/9/2023,California,Mariposa,06043,2434,1519,2520,6473,16860,38.39264531
10/9/2023,California,Mendocino,06045,15619,12218,17620,45457,89316,50.89457656
10/9/2023,California,Merced,06047,44834,42827,74128,161789,285600,56.64880952
10/9/2023,California,Modoc,06049,1220,1285,1670,4175,8446,49.43168364
10/9/2023,California,Mono,06051,1611,1012,1364,3987,13273,30.03842387
10/9/2023,California,Monterey,06053,58373,57419,97992,213784,436476,48.97955443
10/9/2023,California,Napa,06055,12707,12901,13755,39363,134484,29.2696529
10/9/2023,California,Nevada,06057,11812,8517,10634,30963,100400,30.83964143
10/9/2023,California,Orange,06059,394701,307501,340651,1042853,3142277,33.18781253
10/9/2023,California,Placer,06061,27003,24613,30357,81973,410706,19.95904613
10/9/2023,California,Plumas,06063,2344,1971,2638,6953,18955,36.68161435
10/9/2023,California,Riverside,06065,337133,269936,448394,1055463,2431254,43.41228847
10/9/2023,California,Sacramento,06067,210136,180387,275885,666408,1581831,42.12889999
10/9/2023,California,San Benito,06069,6891,5681,9750,22322,65082,34.29826987
10/9/2023,California,San Bernardino,06071,324970,258204,446939,1030113,2170593,47.45767631
10/9/2023,California,San Diego,06073,393003,274357,411356,1078716,3297860,32.7095753
10/9/2023,California,San Francisco,06075,103311,90487,62340,256138,848019,30.20427608
10/9/2023,California,San Joaquin,06077,97769,98577,148157,344503,784528,43.9121357
10/9/2023,California,San Luis Obispo,06079,25842,20978,26932,73752,280251,26.31640922
10/9/2023,California,San Mateo,06081,66628,55067,54438,176133,749075,23.51339986
10/9/2023,California,Santa Barbara,06083,55645,51804,74887,182336,442614,41.19526269
10/9/2023,California,Santa Clara,06085,180313,161848,154760,496921,1911749,25.99300431
10/9/2023,California,Santa Cruz,06087,31723,21789,33342,86854,263101,33.01165712
10/9/2023,California,Shasta,06089,22243,23759,30230,76232,178958,42.59770449
10/9/2023,California,Sierra,06091,277,299,305,881,3152,27.95050761
10/9/2023,California,Siskiyou,06093,6786,6112,7953,20851,42961,48.53471753
10/9/2023,California,Solano,06095,49155,40798,60368,150321,446745,33.64805426
10/9/2023,California,Sonoma,06097,51337,44381,49414,145132,479826,30.2467978
10/9/2023,California,Stanislaus,06099,83202,71166,122193,276561,545704,50.6796725
10/9/2023,California,Sutter,06101,13697,13608,21580,48885,98151,49.8059113
10/9/2023,California,Tehama,06103,9164,9607,14783,33554,64677,51.87933887
10/9/2023,California,Trinity,06105,2289,1608,2405,6302,15870,39.71014493
10/9/2023,California,Tulare,06107,84775,69853,143357,297985,474792,62.761167
10/9/2023,California,Tuolumne,06109,5743,4919,6083,16745,53387,31.36531365
10/9/2023,California,Ventura,06111,92345,82342,101250,275937,825937,33.40896461
10/9/2023,California,Yolo,06113,22569,19342,24155,66066,220381,29.97808341
10/9/2023,California,Yuba,06115,11113,10578,18125,39816,83297,47.80004082
