BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201805,31,2214,201805,31,2214,124715,748171,CALIFORNIA,6,2018,May,High Wind,Z,95,KERN CTY MTNS,HNX,5/31/2018 22:14,PST-8,5/31/2018 22:14,0,0,0,0,0.00K,0.00K,RAWS,56,MG,,,,,,,,,,,,,,,,,,,,High pressure strengthened over the area on May 28 and May 29 and resulted in widespread triple digit heat on the 29th as the main upper ridge axis moved over Central California. An upper trough pushed into Central California on the May 30 and May 31  displacing the high pressure area and bringing cooler temperatures along with windy conditions to the west side of the San Joaquin Valley on the 30th and over the Kern County Mountains and Deserts on the 31st. Several reporting stations on the west side of the San Joaquin Valley measured wind gusts exceeding 40 mph on the 30th and several stations in the Kern County Mountains and Deserts measured gusts exceeding 50 mph on the 31st.,The Jawbone Canyon RAWS reported a peak wind gust of 64 mph.,CSV
201805,31,1826,201805,31,1826,124715,748173,CALIFORNIA,6,2018,May,High Wind,Z,98,INDIAN WELLS VLY,HNX,5/31/2018 18:26,PST-8,5/31/2018 18:26,0,0,0,0,0.00K,0.00K,RAWS,54,MG,,,,,,,,,,,,,,,,,,,,High pressure strengthened over the area on May 28 and May 29 and resulted in widespread triple digit heat on the 29th as the main upper ridge axis moved over Central California. An upper trough pushed into Central California on the May 30 and May 31  displacing the high pressure area and bringing cooler temperatures along with windy conditions to the west side of the San Joaquin Valley on the 30th and over the Kern County Mountains and Deserts on the 31st. Several reporting stations on the west side of the San Joaquin Valley measured wind gusts exceeding 40 mph on the 30th and several stations in the Kern County Mountains and Deserts measured gusts exceeding 50 mph on the 31st.,The Indian Wells Canyon RAWS reported a peak wind gust of 62 mph.,CSV
201805,31,2232,201805,31,2232,124715,748172,CALIFORNIA,6,2018,May,High Wind,Z,95,KERN CTY MTNS,HNX,5/31/2018 22:32,PST-8,5/31/2018 22:32,0,0,0,0,0.00K,0.00K,RAWS,52,MG,,,,,,,,,,,,,,,,,,,,High pressure strengthened over the area on May 28 and May 29 and resulted in widespread triple digit heat on the 29th as the main upper ridge axis moved over Central California. An upper trough pushed into Central California on the May 30 and May 31  displacing the high pressure area and bringing cooler temperatures along with windy conditions to the west side of the San Joaquin Valley on the 30th and over the Kern County Mountains and Deserts on the 31st. Several reporting stations on the west side of the San Joaquin Valley measured wind gusts exceeding 40 mph on the 30th and several stations in the Kern County Mountains and Deserts measured gusts exceeding 50 mph on the 31st.,The Blue Max RAWS reported a peak wind gust of 60 mph.,CSV
201801,16,2250,201801,17,750,121898,729636,CALIFORNIA,6,2018,January,Dense Fog,Z,90,E CENTRAL S.J. VALLEY,HNX,1/16/2018 22:50,PST-8,1/17/2018 7:50,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"High pressure rebuilt over Central California during the morning of the 17th. With low clouds having dissipated the day before, dense fog reformed across portions of the San Joaquin Valley from Fresno southward during the evening hours on the 16th and continued through the morning of the 17th before lifting into a low cloud deck.",Visibility below a quarter mile was reported in Fresno.,CSV
201801,16,2056,201801,17,807,121898,729637,CALIFORNIA,6,2018,January,Dense Fog,Z,91,SW S.J. VALLEY,HNX,1/16/2018 20:56,PST-8,1/17/2018 8:07,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"High pressure rebuilt over Central California during the morning of the 17th. With low clouds having dissipated the day before, dense fog reformed across portions of the San Joaquin Valley from Fresno southward during the evening hours on the 16th and continued through the morning of the 17th before lifting into a low cloud deck.",Visibility below a quarter mile was reported in Lemoore.,CSV
201801,16,2155,201801,17,906,121898,729638,CALIFORNIA,6,2018,January,Dense Fog,Z,92,SE S.J. VALLEY,HNX,1/16/2018 21:55,PST-8,1/17/2018 9:06,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"High pressure rebuilt over Central California during the morning of the 17th. With low clouds having dissipated the day before, dense fog reformed across portions of the San Joaquin Valley from Fresno southward during the evening hours on the 16th and continued through the morning of the 17th before lifting into a low cloud deck.",Visibility below a quarter mile was reported in Porterville and Bakersfield.,CSV
201802,18,2210,201802,18,2210,122136,731084,CALIFORNIA,6,2018,February,High Wind,Z,97,TULARE CTY MTNS,HNX,2/18/2018 22:10,PST-8,2/18/2018 22:10,0,0,0,0,0.00K,0.00K,RAWS,70,MG,,,,,,,,,,,,,,,,,,,,"President's Day weekend got off to a warm and dry start across the area, but the weekend ended on the chilly side as a strong cold front pushed across Central California on the evening of February 18. Gusty winds accompanied the front and continued behind the cold front overnight and well into the President's Day holiday before diminishing by afternoon. Several locations in the San Joaquin Valley measured wind gusts between 35 and 45 mph while several stations in the Kern County Mountains and Deserts reported wind gusts between 45 and 55 mph with a few low impact indicator locations reporting stronger gusts. In addition to the strong winds, light snow fell across portions of the Kern County Mountains in post frontal showers and several locations picked up between a dusting to an inch of snowfall.",The Bear Peak RAWS measured a peak wind gust of 81 mph.,CSV
201802,12,210,201802,12,210,122095,730963,CALIFORNIA,6,2018,February,High Wind,Z,97,TULARE CTY MTNS,HNX,2/12/2018 2:10,PST-8,2/12/2018 2:10,0,0,0,0,0.00K,0.00K,RAWS,54,MG,,,,,,,,,,,,,,,,,,,,High pressure brought a prolonged period of unseasonably warm temperatures to begin February as temperatures were 10 degrees or more above seasonal normals across much of the are for the first 10 days of the month. A low pressure system dropping into the Great Basin on the 10th brought a period of increased winds to the Kern County Mountains and Deserts during the late morning and early afternoon as strong mid level winds mixed down to the surface where there were numerous reports of gusts between 45 and 50 mph. Another trough pushed through the Great Basin on the evening of the 11th through the morning of the 12th which pushed a cold front through Central California and brought another period of increased winds to the area and there were several reports of wind gusts between 50 and 55 mp in the Kern County Mountains and Deserts. this system also brought some light precipitation to the area with amounts generally less than a tenth of an inch of liquid precipitation in post-frontal showers on the 12th. A weak tornado briefly touched down in rural farmland near Sanger during the late morning of the 12th.,The Bear Peak RAWS on an exposed ridge top reported a peak wind gust of 62 mph.,CSV
201802,18,1937,201802,18,1937,122136,731083,CALIFORNIA,6,2018,February,Strong Wind,Z,92,SE S.J. VALLEY,HNX,2/18/2018 19:37,PST-8,2/18/2018 19:37,0,0,0,0,5.00K,0.00K,Law Enforcement,39,EG,,,,,,,,,,,,,,,,,,,,"President's Day weekend got off to a warm and dry start across the area, but the weekend ended on the chilly side as a strong cold front pushed across Central California on the evening of February 18. Gusty winds accompanied the front and continued behind the cold front overnight and well into the President's Day holiday before diminishing by afternoon. Several locations in the San Joaquin Valley measured wind gusts between 35 and 45 mph while several stations in the Kern County Mountains and Deserts reported wind gusts between 45 and 55 mph with a few low impact indicator locations reporting stronger gusts. In addition to the strong winds, light snow fell across portions of the Kern County Mountains in post frontal showers and several locations picked up between a dusting to an inch of snowfall.",California Highway Patrol reported a downed telephone pole and a downed tree blocking both lanes on E. Houston Ave. East of McAuliff St. in Visalia.,CSV
201802,19,232,201802,19,232,122136,731085,CALIFORNIA,6,2018,February,High Wind,Z,95,KERN CTY MTNS,HNX,2/19/2018 2:32,PST-8,2/19/2018 2:32,0,0,0,0,0.00K,0.00K,RAWS,72,MG,,,,,,,,,,,,,,,,,,,,"President's Day weekend got off to a warm and dry start across the area, but the weekend ended on the chilly side as a strong cold front pushed across Central California on the evening of February 18. Gusty winds accompanied the front and continued behind the cold front overnight and well into the President's Day holiday before diminishing by afternoon. Several locations in the San Joaquin Valley measured wind gusts between 35 and 45 mph while several stations in the Kern County Mountains and Deserts reported wind gusts between 45 and 55 mph with a few low impact indicator locations reporting stronger gusts. In addition to the strong winds, light snow fell across portions of the Kern County Mountains in post frontal showers and several locations picked up between a dusting to an inch of snowfall.",The Blue Max RAWS measured a peak wind gust of 83 mph.,CSV
